channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,1000.0,1.0,3593.75,-71.41108703613281,-74.94068908691406,3.52960205078125,False,,floor step 0 (~0 dB rel. amp=1.0); attempt 1/3
mic,1000.0,1.0,31.25,-74.38746643066406,-78.63252258300781,4.24505615234375,False,,floor step 0 (~0 dB rel. amp=1.0); attempt 2/3
mic,1000.0,1.0,31.25,-69.08904266357422,-74.98883056640625,5.899787902832031,False,,floor step 0 (~0 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.7079,2656.25,-66.35574340820312,-70.04756164550781,3.6918182373046875,False,,floor step 1 (~-3 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.7079,1031.25,-73.50033569335938,-78.99453735351562,5.49420166015625,False,,floor step 1 (~-3 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.7079,1031.25,-75.94247436523438,-86.04777526855469,10.105300903320312,True,,floor step 1 (~-3 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.5011,156.25,-69.7985610961914,-75.547119140625,5.748558044433594,False,,floor step 2 (~-6 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.5011,4218.75,-67.21566772460938,-71.1187515258789,3.9030838012695312,False,,floor step 2 (~-6 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.5011,218.75,-73.52534484863281,-79.69500732421875,6.1696624755859375,False,,floor step 2 (~-6 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.3547,1031.25,-77.74219512939453,-104.80267333984375,27.06047821044922,True,,floor step 3 (~-9 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.3547,1031.25,-77.57199096679688,-92.59651184082031,15.024520874023438,True,,floor step 3 (~-9 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.3547,5593.75,-71.1108627319336,-74.14251708984375,3.0316543579101562,False,,floor step 3 (~-9 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.2511,3718.75,-69.05917358398438,-71.34245300292969,2.2832794189453125,False,,floor step 4 (~-12 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.2511,1031.25,-77.8242416381836,-104.64338684082031,26.81914520263672,True,,floor step 4 (~-12 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.2511,1031.25,-74.38233184814453,-79.51678466796875,5.134452819824219,False,,floor step 4 (~-12 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.1778,93.75,-60.386558532714844,-60.699073791503906,0.3125152587890625,False,,floor step 5 (~-15 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.1778,1031.25,-75.05926513671875,-80.37765502929688,5.318389892578125,False,,floor step 5 (~-15 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.1778,1031.25,-76.64202880859375,-87.61402893066406,10.972000122070312,True,,floor step 5 (~-15 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.1258,1031.25,-77.08470153808594,-105.23665618896484,28.151954650878906,True,,floor step 6 (~-18 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.1258,7406.25,-74.59204864501953,-79.15655517578125,4.564506530761719,False,,floor step 6 (~-18 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.1258,6718.75,-62.8557014465332,-65.72897338867188,2.873271942138672,False,,floor step 6 (~-18 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.0891,1031.25,-76.99644470214844,-104.53144073486328,27.534996032714844,True,,floor step 7 (~-21 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.0891,1031.25,-76.98893737792969,-103.91754913330078,26.928611755371094,True,,floor step 7 (~-21 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.0891,6906.25,-68.75729370117188,-73.15833282470703,4.401039123535156,False,,floor step 7 (~-21 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.0631,6968.75,-68.56590270996094,-74.00334167480469,5.43743896484375,False,,floor step 8 (~-24 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.0631,156.25,-68.94194793701172,-74.64239501953125,5.700447082519531,False,,floor step 8 (~-24 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.0631,1031.25,-76.7518310546875,-104.92679595947266,28.174964904785156,True,,floor step 8 (~-24 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.0446,156.25,-71.45173645019531,-77.10897827148438,5.6572418212890625,False,,floor step 9 (~-27 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.0446,5656.25,-68.51741027832031,-70.64895629882812,2.1315460205078125,False,,floor step 9 (~-27 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.0446,406.25,-70.03662872314453,-73.27249908447266,3.235870361328125,False,,floor step 9 (~-27 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.0316,1031.25,-76.60610961914062,-104.47080993652344,27.864700317382812,True,,floor step 10 (~-30 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.0316,6343.75,-68.21009826660156,-70.00962829589844,1.799530029296875,False,,floor step 10 (~-30 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.0316,1031.25,-72.72026824951172,-76.5381088256836,3.817840576171875,False,,floor step 10 (~-30 dB rel. amp=1.0); attempt 3/3
